Reference, Value, Footprint, Datasheet, Cena brutto (PLN), Link do sklepu, Sklep
"J1","Touch LCD","","~","49","https://botland.com.pl/pl/wyswietlacze-lcd-tft-i-ips/13439-wyswietlacz-dotykowy-tft-lcd-24-240x320px-spi.html","Botland"
"U2","DFPlayer_Mini","DFPlayer:DFPlayer_Mini","","31,90","https://botland.com.pl/pl/odtwarzacze-mp3-wav-oog-midi/3170-dfplayer-mini-odtwarzacz-mp3-z-gniazdem-microsd.html","Botland"
"C10","220n","","~","7,66","https://www.tme.eu/pl/details/cl10b224ko8nnnc/kondensatory-mlcc-smd-0603/samsung/","TME"
"R1","270","","~","3,95","https://www.tme.eu/pl/details/wf06p-270r-5%25/rezystory-smd-0603/walsin/wf06p271jtl/","TME"
"C3","4u7","","~","3,93","https://www.tme.eu/pl/details/ce4.7_35-smd/kondensatory-elektrolityczne-smd-85degc/","TME"
"C6","4u7","","~","3,93","https://www.tme.eu/pl/details/ce4.7_35-smd/kondensatory-elektrolityczne-smd-85degc/","TME"
"C2","20p","","~","18,56","https://www.tme.eu/pl/details/cl10c200jb8nnnc/kondensatory-mlcc-smd-0603/samsung/","TME"
"Y1","8M","","~","1,90","https://botland.com.pl/pl/rezonatory/2136-rezonator-kwarcowy-8mhz-smd-5-x-32-mm.html","Botland"
"C7","220n","","~","7,66","https://www.tme.eu/pl/details/cl10b224ko8nnnc/kondensatory-mlcc-smd-0603/samsung/","TME"
"C4","220n","","~","7,66","https://www.tme.eu/pl/details/cl10b224ko8nnnc/kondensatory-mlcc-smd-0603/samsung/","TME"
"TP3","SCK_TP","","~","~","~","~"
"TP1","MISO_TP","","~","~","~","~"
"TP2","MOSI_TP","","~","~","~","~"
"TP4","LCD_CS_TP","","~","~","~","~"
"TP5","T_CS_TP","","~","~","~","~"
"TP13","D-C_TP","","~","~","~","~"
"TP16","DFP_BUSY_TP","","~","~","~","~"
"TP15","DFP_RX_TP","","~","~","~","~"
"TP14","DFP_TX_TP","","~","~","~","~"
"TP6","T_IRQ_TP","","~","~","~","~"
"C1","20p","","~","18,56","https://www.tme.eu/pl/details/cl10c200jb8nnnc/kondensatory-mlcc-smd-0603/samsung/","TME"
"R5","10k","","~","3,95","https://www.tme.eu/pl/details/wf06p-10k-5%25/rezystory-smd-0603/walsin/wf06p103jtl/","TME"
"TP12","GND_TP","","~","~","~","~"
"TP11","GND_TP","","~","~","~","~"
"TP10","VCC_TP","","~","~","~","~"
"J2","Lid Switch","","~","2,01","https://www.tme.eu/pl/details/tact-67n-f/mikroprzelaczniki-tact/ninigi/","TME"
"LS1","YD78","","~","2,95","https://botland.com.pl/pl/glosniki-analogowe/3761-glosnik-yd78-025-2w-8phm-78mm.html","Botland"
"U1","STM32F030K6Tx","Package_QFP:LQFP-32_7x7mm_P0.8mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00088500.pdf","6,84","https://www.tme.eu/pl/details/stm32f030k6t6/mikrokontrolery-st/st-microelectronics/","TME"
"C8","22n","","~","6,51","https://www.tme.eu/pl/details/cc0603kpx7r9223/kondensatory-mlcc-smd-0603/yageo/cc0603kpx7r9bb223/","TME"
"C5","22n","","~","6,51","https://www.tme.eu/pl/details/cc0603kpx7r9223/kondensatory-mlcc-smd-0603/yageo/cc0603kpx7r9bb223/","TME"
